experiment,scope,n_samples,euc_mean,euc_ci_lo,euc_ci_hi,euc_median,euc_std,euc_p90,ang_mean,ang_ci_lo,ang_ci_hi,ang_median,ang_std,ang_p90
ResNet-18 (baseline),wire0,,128.9059,102.704,156.7133,84.1449,97.0815,278.2669,19.9685,14.1219,27.4122,12.0852,25.1952,39.7077
ResNet-18 (baseline),wire1,,119.9346,98.6953,142.0009,99.9687,79.6476,224.3647,30.8965,20.3405,42.766,16.7955,39.6949,74.3984
ResNet-18 (baseline),aggregate,50,124.4203,108.5779,141.9565,90.9472,88.9067,259.1834,25.4325,19.2056,31.897,15.2078,33.6912,59.2606
ResNet-34,wire0,,102.6746,77.7643,130.9632,59.0881,99.4523,249.5062,22.1646,16.1856,28.5808,12.2801,22.5714,49.1553
ResNet-34,wire1,,107.5739,89.8671,124.5611,102.7384,61.9726,210.3561,14.751,10.2288,19.8666,7.4813,17.5717,44.1989
ResNet-34,aggregate,50,105.1242,89.4066,122.3494,86.5443,82.8956,225.5222,18.4578,14.663,22.3244,10.0373,20.5634,47.1021
ResNet-50,wire0,,119.4543,95.94,142.1473,109.4362,86.0684,255.7182,26.2528,19.44,35.1215,20.0591,28.2794,51.6407
ResNet-50,wire1,,124.1797,105.3153,143.3638,116.3392,69.8976,241.1493,24.4372,18.7932,30.6056,18.6688,20.6082,51.2438
ResNet-50,aggregate,50,121.817,106.4867,138.0555,113.1618,78.4366,255.3743,25.345,21.0405,30.5341,19.2865,24.7596,51.6214
No pre-training,wire0,,146.8568,119.1118,174.5036,112.8053,104.7313,273.1739,24.7027,19.8892,29.9863,23.8973,18.2648,57.0113
No pre-training,wire1,,173.5556,147.2891,198.8765,128.0818,90.1527,282.3578,22.4666,18.5755,27.0195,20.9552,14.8318,44.7233
No pre-training,aggregate,50,160.2062,141.7901,180.6515,122.5279,98.6219,281.1275,23.5846,20.4303,26.9318,22.7298,16.6746,47.717
No augmentation (= baseline),wire0,,128.9059,102.704,156.7133,84.1449,97.0815,278.2669,19.9685,14.1219,27.4122,12.0852,25.1952,39.7077
No augmentation (= baseline),wire1,,119.9346,98.6953,142.0009,99.9687,79.6476,224.3647,30.8965,20.3405,42.766,16.7955,39.6949,74.3984
No augmentation (= baseline),aggregate,50,124.4203,108.5779,141.9565,90.9472,88.9067,259.1834,25.4325,19.2056,31.897,15.2078,33.6912,59.2606
ResNet-18 + augmentation,wire0,,245.2238,205.6722,285.4594,237.9231,140.6544,371.6277,90.8963,79.5423,102.3073,97.2173,41.9094,138.5736
ResNet-18 + augmentation,wire1,,239.2348,214.9174,262.3641,234.6722,84.1103,357.0549,92.5107,76.233,107.9943,74.8793,55.698,174.4206
ResNet-18 + augmentation,aggregate,50,242.2293,219.8739,264.0751,237.9231,115.9227,366.8257,91.7035,81.886,101.3846,88.2128,49.2949,169.8348
Heatmap (ResNet-18),wire0,,110.5717,85.8404,138.9657,100.2124,98.9663,238.0187,20.189,16.536,24.0895,16.1963,14.1308,38.7666
Heatmap (ResNet-18),wire1,,106.8336,89.801,123.8971,96.6012,63.3885,184.1114,20.0072,15.3775,25.5922,16.401,18.0949,37.7766
Heatmap (ResNet-18),aggregate,50,108.7027,92.5449,124.5973,98.0255,83.1247,200.6851,20.0981,17.0249,23.2533,16.1963,16.2346,38.7666
