experiment,prediction_idx,euclidean_px,angular_deg
ResNet-34,0,59.5455,4.1952
ResNet-34,1,106.3872,35.8449
ResNet-34,2,28.1907,9.0214
ResNet-34,3,69.7567,30.0191
ResNet-34,4,28.9305,13.8436
ResNet-34,5,40.7113,6.0743
ResNet-34,6,34.8708,11.8996
ResNet-34,7,45.4944,7.4199
ResNet-34,8,36.4558,10.6195
ResNet-34,9,61.2789,15.0758
ResNet-34,10,51.4238,10.1383
ResNet-34,11,61.8783,16.8068
ResNet-34,12,67.9285,22.4157
ResNet-34,13,68.6691,17.5982
ResNet-34,14,50.6197,8.2093
ResNet-34,15,85.8435,1.375
ResNet-34,16,43.2192,13.1657
ResNet-34,17,110.6185,5.7528
ResNet-34,18,24.3721,22.0311
ResNet-34,19,113.8782,19.8117
ResNet-34,20,19.1685,0.3859
ResNet-34,21,102.7476,16.7899
ResNet-34,22,27.2204,2.457
ResNet-34,23,110.5591,16.6655
ResNet-34,24,35.3825,3.3658
ResNet-34,25,127.3792,12.986
ResNet-34,26,162.9525,6.9306
ResNet-34,27,38.2602,2.8363
ResNet-34,28,248.1865,1.2724
ResNet-34,29,44.0737,0.7694
ResNet-34,30,335.011,9.9364
ResNet-34,31,45.1056,3.3786
ResNet-34,32,64.652,4.8641
ResNet-34,33,84.9992,1.8851
ResNet-34,34,51.5494,4.1119
ResNet-34,35,76.2802,2.8052
ResNet-34,36,60.1408,4.7124
ResNet-34,37,64.5319,0.2125
ResNet-34,38,58.6307,5.577
ResNet-34,39,54.8963,0.2053
ResNet-34,40,36.8614,41.9267
ResNet-34,41,139.7011,0.0892
ResNet-34,42,36.3672,43.3537
ResNet-34,43,134.586,0.0271
ResNet-34,44,44.1022,41.5897
ResNet-34,45,145.5528,1.9126
ResNet-34,46,25.0093,42.9241
ResNet-34,47,119.7917,0.9557
ResNet-34,48,23.0701,46.9372
ResNet-34,49,102.7291,4.5424
ResNet-34,50,42.8412,46.8477
ResNet-34,51,93.5811,4.216
ResNet-34,52,84.8744,40.0648
ResNet-34,53,118.5251,13.0931
ResNet-34,54,121.6552,42.5647
ResNet-34,55,168.926,12.2863
ResNet-34,56,142.4589,5.9752
ResNet-34,57,101.0617,48.5863
ResNet-34,58,109.2928,7.1277
ResNet-34,59,139.2911,53.2458
ResNet-34,60,98.9159,16.3149
ResNet-34,61,126.1659,6.7666
ResNet-34,62,108.2656,16.7187
ResNet-34,63,211.8749,7.4383
ResNet-34,64,111.228,14.8737
ResNet-34,65,210.1874,7.5243
ResNet-34,66,120.8298,13.2136
ResNet-34,67,230.6096,8.9125
ResNet-34,68,143.3527,12.2012
ResNet-34,69,224.957,9.2991
ResNet-34,70,159.9562,7.2812
ResNet-34,71,137.8304,8.0538
ResNet-34,72,180.0334,8.5532
ResNet-34,73,87.8765,7.0374
ResNet-34,74,132.2812,7.7312
ResNet-34,75,112.7459,8.0835
ResNet-34,76,24.1811,22.4648
ResNet-34,77,19.9307,43.7114
ResNet-34,78,24.7384,21.4696
ResNet-34,79,36.481,42.2215
ResNet-34,80,87.245,5.394
ResNet-34,81,101.7469,8.0048
ResNet-34,82,261.3837,69.1191
ResNet-34,83,107.7688,57.0006
ResNet-34,84,428.2481,79.8111
ResNet-34,85,149.0331,67.0605
ResNet-34,86,399.321,86.4626
ResNet-34,87,176.4669,52.7986
ResNet-34,88,303.2876,72.694
ResNet-34,89,236.1374,40.3311
ResNet-34,90,246.1953,77.6948
ResNet-34,91,301.9996,6.6558
ResNet-34,92,44.787,10.1936
ResNet-34,93,35.4567,2.4071
ResNet-34,94,39.1594,12.3009
ResNet-34,95,25.2359,0.6851
ResNet-34,96,46.1332,13.0138
ResNet-34,97,32.1912,0.0287
ResNet-34,98,19.2017,12.2593
ResNet-34,99,36.9018,0.261
Heatmap (ResNet-18),0,112.8649,2.6386
Heatmap (ResNet-18),1,187.5958,15.3703
Heatmap (ResNet-18),2,73.3069,5.7846
Heatmap (ResNet-18),3,94.6716,14.4095
Heatmap (ResNet-18),4,13.1754,12.3593
Heatmap (ResNet-18),5,28.4073,5.1389
Heatmap (ResNet-18),6,24.9951,12.3698
Heatmap (ResNet-18),7,30.5991,10.5195
Heatmap (ResNet-18),8,12.512,16.1782
Heatmap (ResNet-18),9,67.7471,26.807
Heatmap (ResNet-18),10,22.6356,33.8481
Heatmap (ResNet-18),11,91.2275,36.6913
Heatmap (ResNet-18),12,103.8001,50.9194
Heatmap (ResNet-18),13,33.6152,45.6094
Heatmap (ResNet-18),14,8.9868,19.7527
Heatmap (ResNet-18),15,107.2747,28.7399
Heatmap (ResNet-18),16,13.3821,14.2539
Heatmap (ResNet-18),17,87.4374,26.3626
Heatmap (ResNet-18),18,20.3967,7.6722
Heatmap (ResNet-18),19,81.0174,25.9806
Heatmap (ResNet-18),20,32.8796,15.4502
Heatmap (ResNet-18),21,52.9096,11.7769
Heatmap (ResNet-18),22,30.1693,15.5577
Heatmap (ResNet-18),23,66.4172,13.8428
Heatmap (ResNet-18),24,27.2137,18.6731
Heatmap (ResNet-18),25,75.1526,17.4316
Heatmap (ResNet-18),26,103.7706,16.1304
Heatmap (ResNet-18),27,46.4384,15.0628
Heatmap (ResNet-18),28,119.7138,2.7645
Heatmap (ResNet-18),29,20.7888,0.8842
Heatmap (ResNet-18),30,200.5524,12.7451
Heatmap (ResNet-18),31,31.4082,10.6887
Heatmap (ResNet-18),32,5.5355,5.5886
Heatmap (ResNet-18),33,31.3943,6.9534
Heatmap (ResNet-18),34,19.3738,5.8458
Heatmap (ResNet-18),35,19.1116,5.7981
Heatmap (ResNet-18),36,14.3922,6.8243
Heatmap (ResNet-18),37,24.0736,4.1069
Heatmap (ResNet-18),38,29.4424,5.1374
